movie_show,season_episode,episode_title,start_timecode,end_timecode,timeline_placement,comment,language,audio_title,reality_designation
Black Panther,,,0:00:14,0:01:45,"2,500,000 BCE",Prologue: N'Jobu narrating the story of the first Black Panther and the formation of Wakanda to his son N'Jadaka (Erik).,en,English (Vegamovies.NL) [8ch],EARTH-199999
Agents of S.H.I.E.L.D.,3.19,Failed Experiments,0:00:45,0:01:35,3500 BCE,NOTE: During this flashback sequence Hive is telling the story of his Inhuman transformation (Terrigenesis) in the present.,en,Original Audio,EARTH-199999
Thor: The Dark World,,,0:00:35,0:03:39,2988 BCE,Prologue: Odin narrating the story of The Convergence,fr,Original Audio,EARTH-199999
